objectid,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,_mean,_min
"1",E06000001,Hartlepool,,"447160","531474",-1.270180000000000,54.676139999999997,96845510.246308639645576,50305.325057601447043,3.738308078124429,1.924904704093933
"2",E06000002,Middlesbrough,,"451141","516887",-1.210990000000000,54.544670000000004,52908459.455874621868134,34964.406312717408582,1.632311612167858,1.279003977775574
"3",E06000003,Redcar and Cleveland,,"464361","519597",-1.006080000000000,54.567520000000002,248679106.107489556074142,83939.752512610924896,2.033433986630282,1.005371093750000
"4",E06000004,Stockton-on-Tees,,"444940","518183",-1.306640000000000,54.556910999999999,207159134.052943527698517,87075.860823865717975,1.794664204120636,1.664423704147339
"5",E06000005,Darlington,,"428029","515648",-1.568350000000000,54.535339000000000,198812770.766702651977539,91926.839544736809330,1.797171592712402,1.546442270278931
"6",E06000006,Halton,,"354246","382146",-2.688530000000000,53.334240000000001,80285487.963777825236320,66618.913964081570157,2.915812877524853,2.739977836608887
"7",E06000007,Warrington,,"362744","388456",-2.561670000000000,53.391627999999997,178628103.877441912889481,71840.670105344892363,2.777741477945837,2.616661071777344
"8",E06000008,Blackburn with Darwen,,"369490","422806",-2.463600000000000,53.700802000000003,139386372.837704271078110,55099.150656999561761,1.972103220964912,1.377799630165100
"9",E06000009,Blackpool,,"332819","436635",-3.021990000000000,53.821639999999995,33695601.822623208165169,30031.408509749060613,5.090919811381482,5.059519290924072
"10",E06000010,"Kingston upon Hull, City of",,"511894","431650",-0.303820000000000,53.769199000000000,71407321.383388027548790,41191.839744042066741,2.614893581992823,2.599941968917847
"11",E06000011,East Riding of Yorkshire,,"488056","443597",-0.661950000000000,53.881119000000005,2407736417.916069984436035,342145.564461021625903,2.248601540923119,1.524985671043396
"12",E06000012,North East Lincolnshire,,"523465","404564",-0.139110000000000,53.523270000000004,190515165.006190747022629,79044.191544497633004,2.360464572906494,2.254036188125610
"13",E06000013,North Lincolnshire,,"497800","410993",-0.524070000000000,53.586430000000000,851248285.548166990280151,180169.926314651209395,2.085657382011413,1.901439547538757
"14",E06000014,York,,"460864","452589",-1.073750000000000,53.965820000000001,275546399.143392980098724,84074.345937298407080,1.979603528976440,1.840060234069824
"15",E06000015,Derby,,"435609","335375",-1.471890000000000,52.914639000000001,78270268.216013163328171,40201.836985869864293,2.314238930073378,1.994857788085938
"16",E06000016,Leicester,,"458946","304594",-1.130400000000000,52.635920999999996,73589165.155181482434273,40830.230188764820923,2.172003825878562,2.076725959777832
"17",E06000017,Rutland,,"492992","308655",-0.626300000000000,52.667648000000000,392185479.476860940456390,96395.318750940714381,2.123621304829916,2.098646163940430
"18",E06000018,Nottingham,,"456082","339969",-1.166670000000000,52.954189000000000,75870408.955199688673019,49574.890143031450862,2.425223957101531,2.318742990493774
"19",E06000019,"Herefordshire, County of",,"349434","242834",-2.739310000000000,52.081538999999999,2180535922.072001457214355,285426.725625786115415,2.279781699180603,1.619016170501709
"20",E06000020,Telford and Wrekin,,"367035","313057",-2.489410000000000,52.714169000000005,291802973.438347756862640,93575.193871502880938,2.591147899627686,2.556326389312744
"21",E06000021,Stoke-on-Trent,,"389438","346652",-2.158880000000000,53.017071000000001,92988650.017369166016579,51304.033136838224891,1.936750938699519,1.842921972274780
"22",E06000022,Bath and North East Somerset,,"366217","161999",-2.486540000000000,51.356041000000005,348611816.210557520389557,107062.696328698642901,2.929023219645906,2.711456775665283
"23",E06000023,"Bristol, City of",,"359990","174846",-2.577420000000000,51.471148999999997,110320041.556104257702827,58260.236900111434807,3.387884710324811,2.847670793533325
"24",E06000024,North Somerset,,"347613","166719",-2.754390000000000,51.397072000000001,374705235.582320153713226,113129.327916097972775,3.451413989067078,3.114810705184937
"25",E06000025,South Gloucestershire,,"367559","183198",-2.469220000000000,51.546730000000004,499853753.458241224288940,113237.408942730718991,3.053686439990997,2.836657762527466
"26",E06000026,Plymouth,,"249945","58255",-4.112970000000000,50.404941999999998,82446416.561325430870056,54633.373433346489037,5.722519328551724,2.967696666717529
"27",E06000027,Torbay,,"289730","64613",-3.555230000000000,50.470920999999997,65455906.775385409593582,55423.720364903914742,4.827505784675708,3.614840030670166
"28",E06000030,Swindon,,"418551","186564",-1.733670000000000,51.577628999999995,227720526.640504330396652,83649.254196992129437,2.590942196387541,2.308822393417358
"29",E06000031,Peterborough,,"517372","300777",-0.268740000000000,52.592140000000001,342190158.161890506744385,97196.068818606538116,2.309320211410522,2.266898632049561
